epoch,defect_rate,mean_error,max_error,safety_events,malfunction_rate
1.0,2.9166666666666665,0.010296656750142574,0.09745649993419647,129.0,0.0
2.0,2.9166666666666665,0.010577158071100712,0.09054537117481232,122.0,0.0
3.0,2.9166666666666665,0.011229481548070908,0.08282989263534546,122.0,0.0
4.0,2.083333333333333,0.01145477406680584,0.08044009655714035,128.0,0.0
5.0,1.6666666666666667,0.011830802075564861,0.07854855805635452,126.0,0.0
6.0,1.6666666666666667,0.011903462931513786,0.07498069107532501,121.0,0.0
7.0,1.6666666666666667,0.012686054222285748,0.0744095891714096,127.0,0.0
8.0,1.6666666666666667,0.012810856103897095,0.0711912140250206,133.0,0.0
9.0,1.6666666666666667,0.0127222565934062,0.07285415381193161,121.0,0.0
10.0,1.6666666666666667,0.01334218680858612,0.07212866842746735,124.0,0.0
11.0,1.6666666666666667,0.013073577545583248,0.07528888434171677,123.0,0.0
12.0,1.6666666666666667,0.013579054735600948,0.07068455964326859,129.0,0.0
